Timestamp,Region,CarbonIntensity_gCO2_kWh
2024-06-15 00:00:00,CAISO_North,245.0
2024-06-15 01:00:00,CAISO_North,242.0
2024-06-15 02:00:00,CAISO_North,240.0
2024-06-15 03:00:00,CAISO_North,241.0
2024-06-15 04:00:00,CAISO_North,243.0
2024-06-15 05:00:00,CAISO_North,248.0
2024-06-15 06:00:00,CAISO_North,235.0
2024-06-15 07:00:00,CAISO_North,190.0
2024-06-15 08:00:00,CAISO_North,145.0
2024-06-15 09:00:00,CAISO_North,110.0
2024-06-15 10:00:00,CAISO_North,85.0
2024-06-15 11:00:00,CAISO_North,72.0
2024-06-15 12:00:00,CAISO_North,70.0
2024-06-15 13:00:00,CAISO_North,74.0
2024-06-15 14:00:00,CAISO_North,82.0
2024-06-15 15:00:00,CAISO_North,105.0
2024-06-15 16:00:00,CAISO_North,160.0
2024-06-15 17:00:00,CAISO_North,225.0
2024-06-15 18:00:00,CAISO_North,280.0
2024-06-15 19:00:00,CAISO_North,305.0
2024-06-15 20:00:00,CAISO_North,295.0
2024-06-15 21:00:00,CAISO_North,280.0
2024-06-15 22:00:00,CAISO_North,265.0
2024-06-15 23:00:00,CAISO_North,255.0
2024-06-15 00:00:00,UK_Grid,152.0
2024-06-15 01:00:00,UK_Grid,148.0
2024-06-15 02:00:00,UK_Grid,142.0
2024-06-15 03:00:00,UK_Grid,138.0
2024-06-15 04:00:00,UK_Grid,135.0
2024-06-15 05:00:00,UK_Grid,139.0
2024-06-15 06:00:00,UK_Grid,155.0
2024-06-15 07:00:00,UK_Grid,185.0
2024-06-15 08:00:00,UK_Grid,202.0
2024-06-15 09:00:00,UK_Grid,215.0
2024-06-15 10:00:00,UK_Grid,220.0
2024-06-15 11:00:00,UK_Grid,218.0
2024-06-15 12:00:00,UK_Grid,210.0
2024-06-15 13:00:00,UK_Grid,208.0
2024-06-15 14:00:00,UK_Grid,205.0
2024-06-15 15:00:00,UK_Grid,212.0
2024-06-15 16:00:00,UK_Grid,235.0
2024-06-15 17:00:00,UK_Grid,245.0
2024-06-15 18:00:00,UK_Grid,252.0
2024-06-15 19:00:00,UK_Grid,248.0
2024-06-15 20:00:00,UK_Grid,225.0
2024-06-15 21:00:00,UK_Grid,195.0
2024-06-15 22:00:00,UK_Grid,175.0
2024-06-15 23:00:00,UK_Grid,165.0
